"","GameSno","FieldAbbe","VisitingTeamName","HomeTeamName","VisitingScore","HomeScore","AudienceCnt","Year.x","Date","Weekdays","HeadUmpire","GameTime","EndTime","WeatherDesc","RainPct","Temperature","Angels","Result","X","ErrorCnt","TotalHittingCnt","TotalHitCnt","TotalHomeRunCnt","Year.y","KindCode","Seq","VisitingHomeType","HitterAcnt","HitterName","HitterUniformNo","RoleType","IsContinuousRace","PlateAppearances","HitCnt","RunBattedINCnt","GameWinningRbiCnt","IsMvp","ScoreCnt","HittingCnt","OneBaseHitCnt","TwoBaseHitCnt","ThreeBaseHitCnt","HomeRunCnt","GrandSlamHomerunCnt","TotalBases","DoublePlayBatCnt","TripplePlayBatCnt","SacrificeHitCnt","SacrificeFlyCnt","BasesONBallsCnt","IntentionalBasesONBallsCnt","HitBYPitchCnt","StrikeOutCnt","StealBaseOKCnt","StealBaseFailCnt","Lobs","LeftBehindLobs","ObstructionCnt","Pkno","CreateTime","CreateUser","UpdateTime","UpdateUser","Rowstamp","Rboe","TeamName"
"11",3,"樂天桃園","富邦悍將","樂天桃猿",3,3,11118,2023,"2023/4/2","星期日","張展榮",273,"21:52:00","多雲。降雨機率 10%。溫度攝氏23度。舒適。東北風 平均風速2-3級(每秒4公尺)。相對濕度60%。",10,23,"琳妲,苡萱,嘎琳,小紫,阿布舞,宋宋,筠熹,儷軒,語芯,卉妮,陳伊,穎樂,孟潔,Yuri,熊霓,Kira,菲菲,心韻,雅涵,慧慧,若潼,李昀,禹菡,凱莉絲,籃籃,十元,岱縈,曲曲,李多慧,芷軒,凱伊,林襄,溫妮","D",5220,0,1,6,0,2023,"A",1,2,132,"梁家榮",5,"先發",1,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,"Z0013ZIO","2023-04-02T22:03:42","batch","2023-04-02T22:03:42","batch",NA,0,"樂天桃猿"
"12",3,"樂天桃園","富邦悍將","樂天桃猿",3,3,11118,2023,"2023/4/2","星期日","張展榮",273,"21:52:00","多雲。降雨機率 10%。溫度攝氏23度。舒適。東北風 平均風速2-3級(每秒4公尺)。相對濕度60%。",10,23,"琳妲,苡萱,嘎琳,小紫,阿布舞,宋宋,筠熹,儷軒,語芯,卉妮,陳伊,穎樂,孟潔,Yuri,熊霓,Kira,菲菲,心韻,雅涵,慧慧,若潼,李昀,禹菡,凱莉絲,籃籃,十元,岱縈,曲曲,李多慧,芷軒,凱伊,林襄,溫妮","D",5221,0,2,8,0,2023,"A",1,2,1318,"朱育賢",85,"先發",1,5,4,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,"Z0013ZIS","2023-04-02T22:03:42","batch","2023-04-02T22:03:42","batch",NA,0,"樂天桃猿"
"13",3,"樂天桃園","富邦悍將","樂天桃猿",3,3,11118,2023,"2023/4/2","星期日","張展榮",273,"21:52:00","多雲。降雨機率 10%。溫度攝氏23度。舒適。東北風 平均風速2-3級(每秒4公尺)。相對濕度60%。",10,23,"琳妲,苡萱,嘎琳,小紫,阿布舞,宋宋,筠熹,儷軒,語芯,卉妮,陳伊,穎樂,孟潔,Yuri,熊霓,Kira,菲菲,心韻,雅涵,慧慧,若潼,李昀,禹菡,凱莉絲,籃籃,十元,岱縈,曲曲,李多慧,芷軒,凱伊,林襄,溫妮","D",5224,0,2,9,0,2023,"A",1,2,3343,"郭嚴文",21,"先發",1,5,5,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,"Z0013ZIV","2023-04-02T22:03:42","batch","2023-04-02T22:03:42","batch",NA,0,"樂天桃猿"
"14",3,"樂天桃園","富邦悍將","樂天桃猿",3,3,11118,2023,"2023/4/2","星期日","張展榮",273,"21:52:00","多雲。降雨機率 10%。溫度攝氏23度。舒適。東北風 平均風速2-3級(每秒4公尺)。相對濕度60%。",10,23,"琳妲,苡萱,嘎琳,小紫,阿布舞,宋宋,筠熹,儷軒,語芯,卉妮,陳伊,穎樂,孟潔,Yuri,熊霓,Kira,菲菲,心韻,雅涵,慧慧,若潼,李昀,禹菡,凱莉絲,籃籃,十元,岱縈,曲曲,李多慧,芷軒,凱伊,林襄,溫妮","D",5227,0,1,1,0,2023,"A",1,2,3174,"郭永維",7,"非先發",1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Z0013ZIU","2023-04-02T22:03:42","batch","2023-04-02T22:03:42","batch",NA,0,"樂天桃猿"
"15",3,"樂天桃園","富邦悍將","樂天桃猿",3,3,11118,2023,"2023/4/2","星期日","張展榮",273,"21:52:00","多雲。降雨機率 10%。溫度攝氏23度。舒適。東北風 平均風速2-3級(每秒4公尺)。相對濕度60%。",10,23,"琳妲,苡萱,嘎琳,小紫,阿布舞,宋宋,筠熹,儷軒,語芯,卉妮,陳伊,穎樂,孟潔,Yuri,熊霓,Kira,菲菲,心韻,雅涵,慧慧,若潼,李昀,禹菡,凱莉絲,籃籃,十元,岱縈,曲曲,李多慧,芷軒,凱伊,林襄,溫妮","D",5228,0,0,1,0,2023,"A",1,2,4634,"邱丹",86,"非先發",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Z0013ZJ0","2023-04-02T22:03:42","batch","2023-04-02T22:03:42","batch",NA,0,"樂天桃猿"
"16",3,"樂天桃園","富邦悍將","樂天桃猿",3,3,11118,2023,"2023/4/2","星期日","張展榮",273,"21:52:00","多雲。降雨機率 10%。溫度攝氏23度。舒適。東北風 平均風速2-3級(每秒4公尺)。相對濕度60%。",10,23,"琳妲,苡萱,嘎琳,小紫,阿布舞,宋宋,筠熹,儷軒,語芯,卉妮,陳伊,穎樂,孟潔,Yuri,熊霓,Kira,菲菲,心韻,雅涵,慧慧,若潼,李昀,禹菡,凱莉絲,籃籃,十元,岱縈,曲曲,李多慧,芷軒,凱伊,林襄,溫妮","D",5231,0,3,8,0,2023,"A",1,2,6854,"宋嘉翔",2,"先發",1,4,4,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,"Z0013ZJ3","2023-04-02T22:03:42","batch","2023-04-02T22:03:42","batch",NA,0,"樂天桃猿"
"17",21,"樂天桃園","味全龍","樂天桃猿",8,3,7651,2023,"2023/4/14","星期五","紀華文",220,"22:15:00","晴。降雨機率 10%。溫度攝氏25度。舒適。西南風 平均風速1-2級(每秒2公尺)。相對濕度67%。",10,25,"菲菲,苡萱,孟潔,岱縈,Yuri,凱莉絲,陳伊,卉妮,語芯,穎樂,小紫,宋宋,十元,禹菡,儷軒,李多慧 ","L",2911,0,2,15,0,2023,"A",1,2,153,"林承飛",6,"非先發",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Z00444US","2023-04-14T22:30:53","batch","2023-04-14T22:30:53","batch",NA,0,"樂天桃猿"
"18",21,"樂天桃園","味全龍","樂天桃猿",8,3,7651,2023,"2023/4/14","星期五","紀華文",220,"22:15:00","晴。降雨機率 10%。溫度攝氏25度。舒適。西南風 平均風速1-2級(每秒2公尺)。相對濕度67%。",10,25,"菲菲,苡萱,孟潔,岱縈,Yuri,凱莉絲,陳伊,卉妮,語芯,穎樂,小紫,宋宋,十元,禹菡,儷軒,李多慧 ","L",2914,1,10,35,1,2023,"A",1,2,2286,"林立",39,"先發",1,4,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,"Z00444UW","2023-04-14T22:30:53","batch","2023-04-14T22:30:53","batch",NA,0,"樂天桃猿"
"19",21,"樂天桃園","味全龍","樂天桃猿",8,3,7651,2023,"2023/4/14","星期五","紀華文",220,"22:15:00","晴。降雨機率 10%。溫度攝氏25度。舒適。西南風 平均風速1-2級(每秒2公尺)。相對濕度67%。",10,25,"菲菲,苡萱,孟潔,岱縈,Yuri,凱莉絲,陳伊,卉妮,語芯,穎樂,小紫,宋宋,十元,禹菡,儷軒,李多慧 ","L",2915,0,9,31,0,2023,"A",1,2,159,"成晉",35,"先發",1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,"Z00444UU","2023-04-14T22:30:53","batch","2023-04-14T22:30:53","batch",NA,0,"樂天桃猿"
"20",21,"樂天桃園","味全龍","樂天桃猿",8,3,7651,2023,"2023/4/14","星期五","紀華文",220,"22:15:00","晴。降雨機率 10%。溫度攝氏25度。舒適。西南風 平均風速1-2級(每秒2公尺)。相對濕度67%。",10,25,"菲菲,苡萱,孟潔,岱縈,Yuri,凱莉絲,陳伊,卉妮,語芯,穎樂,小紫,宋宋,十元,禹菡,儷軒,李多慧 ","L",2916,0,2,15,0,2023,"A",1,2,6240,"馬傑森",94,"先發",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"Z00444V1","2023-04-14T22:30:53","batch","2023-04-14T22:30:53","batch",NA,0,"樂天桃猿"
